SECY_number,SRM Description,SRM Date,SRM Year,SRM url,Description,SECY Date,SECY Year,SECY url,detailed_type,title,voter,Vote Date,CVR Year,availability,SRM_Business_Days,Vote_Business_Days,Vote_SRM_Business_Days,first_vote,last_vote,Role at CVR,Party Affiliation,Start Date,End Date,Gender,Chair at CVR,Cumulative Days Served,Term Number,Chair at SECY,Chair at SECY Start Date,Chair at SECY End Date,Last Name,Role at SECY,SECY_before_term,Original_Vote_Business_Days,Original_SRM_Business_Days,next_chair,bdays_before_chair_end,responsible_chair,com_count_SECY,com_count_CVR,com_count_SRM,com_count_average,consistency_count,Congress,Presidency,Party,Party_Congress_Diff,Party_Presidency_Diff
SECY-00-0003,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-02-11,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0003srmrev.pdf,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672303.pdf,Report,COMR.,DIAZ,2000-01-20,2000,all,28.0,12.0,16.0,False,False,Commissioner,Republican,1996-08-23,2001-06-30,Male,Meserve,1246,1,Meserve,1999-10-29,2003-03-31,DIAZ,Commissioner,False,12.0,28.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0003,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-02-11,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0003srmrev.pdf,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672303.pdf,Report,COMR.,DICUS,2000-01-24,2000,all,28.0,14.0,14.0,False,True,Commissioner,Democrat,1999-10-29,2003-06-30,Female,Meserve,1322,4,Meserve,1999-10-29,2003-03-31,DICUS,Commissioner,False,14.0,28.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0003,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-02-11,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0003srmrev.pdf,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672303.pdf,Report,COMR.,MCGAFFIGAN,2000-01-21,2000,all,28.0,13.0,15.0,False,False,Commissioner,Democrat,1996-08-28,2005-06-30,Male,Meserve,1242,1,Meserve,1999-10-29,2003-03-31,MCGAFFIGAN,Commissioner,False,13.0,28.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0003,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-02-11,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0003srmrev.pdf,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672303.pdf,Report,COMR.,MERRIFIELD,2000-01-12,2000,all,28.0,7.0,21.0,True,False,Commissioner,Republican,1998-10-23,2002-06-30,Male,Meserve,447,1,Meserve,1999-10-29,2003-03-31,MERRIFIELD,Commissioner,False,7.0,28.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0003,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-02-11,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0003srmrev.pdf,Report to Congress on Abnormal Occurrences for Fiscal Year 1999,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672303.pdf,Report,CHRM.,MESERVE,2000-01-18,2000,all,28.0,10.0,18.0,False,False,Chair,Democrat,1999-10-29,2003-03-31,Male,Meserve,82,1,Meserve,1999-10-29,2003-03-31,MESERVE,Chair,False,10.0,28.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0007,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-03-31,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0007srm.pdf,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-01-12,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/secys/2000/secy2000-0007/2000-0007scy.pdf,Information,COMR.,DIAZ,2000-02-09,2000,all,55.0,19.0,36.0,True,False,Commissioner,Republican,1996-08-23,2001-06-30,Male,Meserve,1266,1,Meserve,1999-10-29,2003-03-31,DIAZ,Commissioner,False,19.0,55.0,Diaz,838.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0007,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-03-31,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0007srm.pdf,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-01-12,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/secys/2000/secy2000-0007/2000-0007scy.pdf,Information,COMR.,DICUS,2000-03-22,2000,all,55.0,48.0,7.0,False,True,Commissioner,Democrat,1999-10-29,2003-06-30,Female,Meserve,1380,4,Meserve,1999-10-29,2003-03-31,DICUS,Commissioner,False,48.0,55.0,Diaz,838.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0007,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-03-31,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0007srm.pdf,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-01-12,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/secys/2000/secy2000-0007/2000-0007scy.pdf,Information,COMR.,MCGAFFIGAN,2000-02-11,2000,all,55.0,21.0,34.0,False,False,Commissioner,Democrat,1996-08-28,2005-06-30,Male,Meserve,1263,1,Meserve,1999-10-29,2003-03-31,MCGAFFIGAN,Commissioner,False,21.0,55.0,Diaz,838.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0007,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-03-31,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0007srm.pdf,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-01-12,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/secys/2000/secy2000-0007/2000-0007scy.pdf,Information,COMR.,MERRIFIELD,2000-02-14,2000,all,55.0,22.0,33.0,False,False,Commissioner,Republican,1998-10-23,2002-06-30,Male,Meserve,480,1,Meserve,1999-10-29,2003-03-31,MERRIFIELD,Commissioner,False,22.0,55.0,Diaz,838.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0007,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-03-31,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0007srm.pdf,Proposed Staff Plan for Low Power and Shutdown Risk Analysis Research to Support Risk-Informed Regulatory Decision Making,2000-01-12,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/secys/2000/secy2000-0007/2000-0007scy.pdf,Information,CHRM.,MESERVE,2000-03-20,2000,all,55.0,46.0,9.0,False,False,Chair,Democrat,1999-10-29,2003-03-31,Male,Meserve,144,1,Meserve,1999-10-29,2003-03-31,MESERVE,Chair,False,46.0,55.0,Diaz,838.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0010,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-03-23,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0010srm.pdf,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003672584.pdf,Other,COMR.,DIAZ,2000-03-14,2000,all,47.0,40.0,7.0,False,False,Commissioner,Republican,1996-08-23,2001-06-30,Male,Meserve,1300,1,Meserve,1999-10-29,2003-03-31,DIAZ,Commissioner,False,40.0,47.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0010,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-03-23,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0010srm.pdf,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003672584.pdf,Other,COMR.,DICUS,2000-03-10,2000,all,47.0,38.0,9.0,False,False,Commissioner,Democrat,1999-10-29,2003-06-30,Female,Meserve,1368,4,Meserve,1999-10-29,2003-03-31,DICUS,Commissioner,False,38.0,47.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0010,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-03-23,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0010srm.pdf,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003672584.pdf,Other,COMR.,MCGAFFIGAN,2000-03-13,2000,all,47.0,39.0,8.0,False,False,Commissioner,Democrat,1996-08-28,2005-06-30,Male,Meserve,1294,1,Meserve,1999-10-29,2003-03-31,MCGAFFIGAN,Commissioner,False,39.0,47.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0010,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-03-23,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0010srm.pdf,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003672584.pdf,Other,COMR.,MERRIFIELD,2000-03-07,2000,all,47.0,35.0,12.0,True,False,Commissioner,Republican,1998-10-23,2002-06-30,Male,Meserve,502,1,Meserve,1999-10-29,2003-03-31,MERRIFIELD,Commissioner,False,35.0,47.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0010,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-03-23,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0010srm.pdf,"Calvert Cliffs Nuclear Power Plant, Units 1 and 2 - Renewal of Full-Power Operating License",2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003672584.pdf,Other,CHRM.,MESERVE,2000-03-15,2000,all,47.0,41.0,6.0,False,True,Chair,Democrat,1999-10-29,2003-03-31,Male,Meserve,139,1,Meserve,1999-10-29,2003-03-31,MESERVE,Chair,False,41.0,47.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0011,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-04-13,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0011srm.pdf,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003675659.pdf,Information,COMR.,DIAZ,2000-03-28,2000,all,62.0,50.0,12.0,False,False,Commissioner,Republican,1996-08-23,2001-06-30,Male,Meserve,1314,1,Meserve,1999-10-29,2003-03-31,DIAZ,Commissioner,False,50.0,62.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0011,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-04-13,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0011srm.pdf,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003675659.pdf,Information,COMR.,DICUS,2000-04-02,2000,all,62.0,54.0,8.0,False,False,Commissioner,Democrat,1999-10-29,2003-06-30,Female,Meserve,1391,4,Meserve,1999-10-29,2003-03-31,DICUS,Commissioner,False,54.0,62.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0011,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-04-13,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0011srm.pdf,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003675659.pdf,Information,COMR.,MCGAFFIGAN,2000-04-03,2000,all,62.0,54.0,8.0,False,True,Commissioner,Democrat,1996-08-28,2005-06-30,Male,Meserve,1315,1,Meserve,1999-10-29,2003-03-31,MCGAFFIGAN,Commissioner,False,54.0,62.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0011,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-04-13,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0011srm.pdf,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003675659.pdf,Information,COMR.,MERRIFIELD,2000-03-27,2000,all,62.0,49.0,13.0,True,False,Commissioner,Republican,1998-10-23,2002-06-30,Male,Meserve,522,1,Meserve,1999-10-29,2003-03-31,MERRIFIELD,Commissioner,False,49.0,62.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0011,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-04-13,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0011srm.pdf,Evaluation of the Requirement for Licensees to Update Their Inservice Inspection and Inservice Testing Programs Every 120 Months,2000-01-14,2000,https://www.nrc.gov/docs/ML0036/ML003675659.pdf,Information,CHRM.,MESERVE,2000-03-29,2000,all,62.0,51.0,11.0,False,False,Chair,Democrat,1999-10-29,2003-03-31,Male,Meserve,153,1,Meserve,1999-10-29,2003-03-31,MESERVE,Chair,False,51.0,62.0,Diaz,836.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0017,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2001-02-16,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0017srm.pdf,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2000-01-21,2000,https://www.nrc.gov/docs/ML0037/ML003712774.html,Proposed Rule,COMR.,DIAZ,2000-07-26,2000,all,270.0,130.0,140.0,False,False,Commissioner,Republican,1996-08-23,2001-06-30,Male,Meserve,1434,1,Meserve,1999-10-29,2003-03-31,DIAZ,Commissioner,False,130.0,270.0,Diaz,831.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0017,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2001-02-16,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0017srm.pdf,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2000-01-21,2000,https://www.nrc.gov/docs/ML0037/ML003712774.html,Proposed Rule,COMR.,DICUS,2000-04-10,2000,all,270.0,55.0,215.0,True,False,Commissioner,Democrat,1999-10-29,2003-06-30,Female,Meserve,1399,4,Meserve,1999-10-29,2003-03-31,DICUS,Commissioner,False,55.0,270.0,Diaz,831.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0017,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2001-02-16,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0017srm.pdf,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2000-01-21,2000,https://www.nrc.gov/docs/ML0037/ML003712774.html,Proposed Rule,COMR.,MCGAFFIGAN,2000-12-14,2000,all,270.0,227.0,43.0,False,True,Commissioner,Democrat,1996-08-28,2005-06-30,Male,Meserve,1570,1,Meserve,1999-10-29,2003-03-31,MCGAFFIGAN,Commissioner,False,227.0,270.0,Diaz,831.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0017,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2001-02-16,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0017srm.pdf,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2000-01-21,2000,https://www.nrc.gov/docs/ML0037/ML003712774.html,Proposed Rule,COMR.,MERRIFIELD,2000-05-30,2000,all,270.0,90.0,180.0,False,False,Commissioner,Republican,1998-10-23,2002-06-30,Male,Meserve,586,1,Meserve,1999-10-29,2003-03-31,MERRIFIELD,Commissioner,False,90.0,270.0,Diaz,831.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0017,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2001-02-16,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0017srm.pdf,Proposed Rule Revising 10 CFR Part 2 -- Rules of Practice,2000-01-21,2000,https://www.nrc.gov/docs/ML0037/ML003712774.html,Proposed Rule,CHRM.,MESERVE,2000-11-06,2000,all,270.0,201.0,69.0,False,False,Chair,Democrat,1999-10-29,2003-03-31,Male,Meserve,375,1,Meserve,1999-10-29,2003-03-31,MESERVE,Chair,False,201.0,270.0,Diaz,831.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
